replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
175,0.06569413781202557,0.05709432826318502,0.8352607798415083,0.17790575045856116,0.9930658408075045,2.8479420885369047,1.3177656014572217
176,0.06643340197042359,0.051219273068650574,0.8653800533515245,0.17019966508466045,1.168623818621238,2.7877003794137836,1.3912173841095912
177,0.06453212934242913,0.05481507160101338,0.9576599041948866,0.172250307674455,1.1739707733732871,2.7326449988309114,1.267685882480237
178,0.0659194052507319,0.05455730326725781,0.8920904526516942,0.19514110588413577,1.1771050918954216,2.4543855729659545,1.3383371835614923
179,0.06586930976583903,0.055818305070120394,0.8282164247021344,0.19060387904165638,1.1920138552936046,2.7765043815133867,1.4456743209973153
180,0.06689545996045987,0.05718987959519481,0.8132099606412744,0.1960483079922779,1.179775914674045,2.45307675879599,1.2279712072735265
181,0.0636141688047733,0.05891704732859412,0.9789279153727184,0.16231711866272663,1.134808432382719,2.5088174154078358,1.2768682135232037
182,0.06681891735906767,0.05246792083229459,0.842323241354997,0.19570947821658477,1.1776634589657442,2.5199096871948417,1.4435667385298458
183,0.06639613710725677,0.05526738650571169,0.8194142685923225,0.18451504411003308,1.1534408559034086,2.6875908270218045,1.4032745414138164
184,0.06647425092027223,0.05678152531509193,0.8320980498082419,0.16614628587439562,1.1657425942154984,2.5994759400454392,1.2203569950598747
185,0.06587528576378834,0.05739385611796433,0.8405832737621959,0.19615852699865155,1.161013867786345,2.428030197616611,1.44953950484423
186,0.06558378902239266,0.056330199621280774,0.8796169602706362,0.18061411235354669,1.0555561567398757,2.431876758432701,1.4112507293543388
187,0.06422603459341132,0.05898200737004654,0.9109795573640426,0.19633383702055673,1.133594744587863,2.5245055882186254,1.4456600295611242
188,0.06391033694447659,0.05969874553878415,0.918129542012452,0.1652821022264018,1.2057970285700972,2.61695711784268,1.4066716963822006
189,0.06797449945798013,0.05064039905395379,0.8310321150161004,0.18294983106724613,1.0042985858233624,2.340224476769667,1.3453790423140106
190,0.06656872457992283,0.05403404899154971,0.8467649146064683,0.17529386493510318,1.117169768949823,2.712437404661506,1.2579647269949805
191,0.06424877840010794,0.05732364502057312,0.9470102334402828,0.18126453068064868,1.2081108818170336,2.5948768855122477,1.3112591559554143
192,0.06559704922420778,0.05538471821500825,0.8940676017927774,0.18980514956912992,1.1237395723226244,2.3481545617872275,1.4484225415375815
193,0.06637665261478659,0.052200805404255785,0.8652209444491403,0.16988017400743866,1.0310980996202002,2.546058484848202,1.4845497065097895
194,0.06317681525046807,0.06040516173264812,0.9665227263823537,0.1868707560566189,1.1941311123221732,2.53281041485871,1.3739547789421402
195,0.0671208735736105,0.05042339079654782,0.8711804732052514,0.17761209717948415,1.049356105150007,2.632014773319311,1.2566888206450342
196,0.06667674049195761,0.05639142539679705,0.8125198522606006,0.1626627372339709,1.077985940364746,2.3936879605165533,1.4322916039911848
197,0.0665592478620452,0.051632100744716435,0.8667726398816868,0.19257438172178334,1.1703106956458105,2.537859639696084,1.452242842339497
198,0.06450131872822748,0.05651360275213109,0.9330417209773844,0.16670171899012318,1.050362147255425,2.8061558526500745,1.242786685889595
199,0.06656857749188735,0.054612470554394166,0.8350003019760999,0.17207020934468892,1.0228065209696113,2.5477548771146856,1.3886990108479136
